slug,source_C_live,source_C_last_snapshot_date,source_C_snapshot_body_len,source_C_timestamp
cortex-ai,,,60.0,2026-04-24T22:51:11.840772+00:00
pixley-ai,,,57.0,2026-04-24T22:51:12.582658+00:00
lexi,True,2026-03-12 00:00:00+00:00,210.0,2026-04-24T22:51:07.609962+00:00
codyco,True,2026-02-13 00:00:00+00:00,217.0,2026-04-24T22:51:07.263851+00:00
imagine-ai,True,2026-02-15 00:00:00+00:00,213.0,2026-04-24T22:51:16.535414+00:00
s2-dev,,,51.0,2026-04-24T22:51:15.382609+00:00
expected-parrot,True,2026-03-13 00:00:00+00:00,225.0,2026-04-24T22:51:17.312437+00:00
everest,True,2026-03-08 00:00:00+00:00,230.0,2026-04-24T22:51:17.875067+00:00
selfin,,,55.0,2026-04-24T22:51:09.515215+00:00
patent-watch,,,64.0,2026-04-24T22:51:16.319019+00:00
anto-biosciences,,,58.0,2026-04-24T22:51:16.470421+00:00
play-health,,,58.0,2026-04-24T22:51:10.895296+00:00
aside,,,57.0,2026-04-24T22:51:19.481013+00:00
leadbay,True,2026-03-11 00:00:00+00:00,210.0,2026-04-24T22:51:14.424036+00:00
nucleo,True,2026-02-18 00:00:00+00:00,222.0,2026-04-24T22:51:14.428741+00:00
tornyol,,,57.0,2026-04-24T22:51:14.450036+00:00
hireglide,,,62.0,2026-04-24T22:51:21.341414+00:00
zalos,,,58.0,2026-04-24T22:51:21.552642+00:00
sourcebot,,,63.0,2026-04-24T22:51:21.648434+00:00
specific,True,2026-03-19 00:00:00+00:00,209.0,2026-04-24T22:51:25.849413+00:00
spatial-ai,,,60.0,2026-04-24T22:51:22.341244+00:00
lua-global-inc,,,55.0,2026-04-24T22:51:22.923968+00:00
crunched,,,61.0,2026-04-24T22:51:23.887497+00:00
usenarrative,,,68.0,2026-04-24T22:51:24.295541+00:00
scott-ai,,,56.0,2026-04-24T22:51:18.033016+00:00
primer,,,64.0,2026-04-24T22:51:25.432941+00:00
clad-labs,,,56.0,2026-04-24T22:51:25.998937+00:00
absurd,,,56.0,2026-04-24T22:51:26.533586+00:00
metorial,,,57.0,2026-04-24T22:51:26.996054+00:00
kalpa-labs,,,58.0,2026-04-24T22:51:26.665836+00:00
arcten,,,55.0,2026-04-24T22:51:27.933068+00:00
uselemma,True,2026-03-13 00:00:00+00:00,216.0,2026-04-24T22:51:31.958891+00:00
denki,,,53.0,2026-04-24T22:51:29.779711+00:00
savahq,,,59.0,2026-04-24T22:51:30.219576+00:00
rovi-health,True,2026-02-16 00:00:00+00:00,215.0,2026-04-24T22:51:33.347519+00:00
karumi,,,59.0,2026-04-24T22:51:31.858578+00:00
exonic,,,54.0,2026-04-24T22:51:31.996508+00:00
automax-ai,,,55.0,2026-04-24T22:51:25.958263+00:00
castari,,,56.0,2026-04-24T22:51:32.811277+00:00
bluma,True,2026-03-24 00:00:00+00:00,217.0,2026-04-24T22:51:37.286262+00:00
miniswap,,,57.0,2026-04-24T22:51:34.429974+00:00
lightberry,True,2026-02-07 00:00:00+00:00,213.0,2026-04-24T22:51:37.017245+00:00
freeport-markets,,,69.0,2026-04-24T22:51:34.714636+00:00
boom-ai,True,2026-03-10 00:00:00+00:00,209.0,2026-04-24T22:51:35.157130+00:00
forge-robotics,True,2026-03-12 00:00:00+00:00,221.0,2026-04-24T22:51:37.293428+00:00
amera,True,2026-03-07 00:00:00+00:00,238.0,2026-04-24T22:51:38.177756+00:00
telemetron-ai,,,63.0,2026-04-24T22:51:35.901971+00:00
the-hog,,,55.0,2026-04-24T22:51:36.461978+00:00
icarus,,,60.0,2026-04-24T22:51:30.273972+00:00
mantle,,,60.0,2026-04-24T22:51:31.910960+00:00
diligencesquared-inc,,,66.0,2026-04-24T22:51:39.195305+00:00
jarmin,True,2026-03-09 00:00:00+00:00,208.0,2026-04-24T22:51:32.519961+00:00
dome,True,2026-03-11 00:00:00+00:00,205.0,2026-04-24T22:51:43.455591+00:00
velvet,,,57.0,2026-04-24T22:51:40.265456+00:00
lunabill,True,2026-01-21 00:00:00+00:00,210.0,2026-04-24T22:51:41.484577+00:00
axial-composites-industries,,,67.0,2026-04-24T22:51:40.493642+00:00
rivet-design,True,2026-03-08 00:00:00+00:00,210.0,2026-04-24T22:51:45.656079+00:00
bear,True,2026-03-10 00:00:00+00:00,209.0,2026-04-24T22:51:45.180032+00:00
claybird,,,58.0,2026-04-24T22:51:42.447106+00:00
clicks,,,57.0,2026-04-24T22:51:43.138890+00:00
mayflower,True,2026-03-07 00:00:00+00:00,219.0,2026-04-24T22:51:46.797708+00:00
markit,,,60.0,2026-04-24T22:51:44.434878+00:00
zarna,,,61.0,2026-04-24T22:51:44.794278+00:00
moss,,,56.0,2026-04-24T22:51:44.935556+00:00
jsx-tool,True,2026-03-08 00:00:00+00:00,207.0,2026-04-24T22:51:48.750607+00:00
fixpoint,,,57.0,2026-04-24T22:51:45.347667+00:00
openroll,,,61.0,2026-04-24T22:51:45.456436+00:00
item,,,53.0,2026-04-24T22:51:46.442313+00:00
zephyr-fusion,,,65.0,2026-04-24T22:51:46.882123+00:00
fastshot,,,61.0,2026-04-24T22:51:42.496718+00:00
leeroo,,,60.0,2026-04-24T22:51:49.358144+00:00
willow,,,61.0,2026-04-24T22:51:50.203116+00:00
aviro,,,58.0,2026-04-24T22:51:50.550226+00:00
partcl,,,56.0,2026-04-24T22:51:50.725491+00:00
opine,,,59.0,2026-04-24T22:51:50.727282+00:00
atlog,,,53.0,2026-04-24T22:51:51.316111+00:00
blaxel,,,54.0,2026-04-24T22:51:52.186258+00:00
qfex,True,2026-03-09 00:00:00+00:00,205.0,2026-04-24T22:51:52.745222+00:00
frekil,,,59.0,2026-04-24T22:51:54.183517+00:00
bitboard,True,2026-03-06 00:00:00+00:00,216.0,2026-04-24T22:51:55.607824+00:00
chestnut,,,107.0,2026-04-24T22:51:53.581224+00:00
vybe,,,59.0,2026-04-24T22:51:55.137207+00:00
aravolta,,,62.0,2026-04-24T22:51:55.129015+00:00
nao-labs,,,55.0,2026-04-24T22:51:55.599136+00:00
atum-works,,,56.0,2026-04-24T22:51:49.559476+00:00
kashikoi,,,107.0,2026-04-24T22:51:55.115226+00:00
plexe,,,107.0,2026-04-24T22:51:54.815344+00:00
notus-autonomous-systems,,,65.0,2026-04-24T22:51:57.153077+00:00
golf,True,2026-03-14 00:00:00+00:00,206.0,2026-04-24T22:51:56.318309+00:00
cubic,,,55.0,2026-04-24T22:51:59.310422+00:00
neoncoral,True,2025-11-29 00:00:00+00:00,209.0,2026-04-24T22:52:04.578390+00:00
bloom-4,,,55.0,2026-04-24T22:51:59.689581+00:00
avallon-ai,,,60.0,2026-04-24T22:52:00.659766+00:00
minerva,,,62.0,2026-04-24T22:52:01.109473+00:00
claim-health,True,2026-04-02 00:00:00+00:00,223.0,2026-04-24T22:52:06.090932+00:00
auctor,,,58.0,2026-04-24T22:52:05.044236+00:00
acolite,,,55.0,2026-04-24T22:52:05.431331+00:00
ralo,,,58.0,2026-04-24T22:52:05.394978+00:00
capacitive,,,59.0,2026-04-24T22:52:05.665819+00:00
almond-2,,,56.0,2026-04-24T22:52:06.543821+00:00
groundcontrol,,,66.0,2026-04-24T22:52:00.708172+00:00
kanava-ai,,,55.0,2026-04-24T22:52:00.810381+00:00
cua,,,51.0,2026-04-24T22:52:01.441916+00:00
the-robot-learning-company,,,67.0,2026-04-24T22:52:07.791342+00:00
helixdb,,,107.0,2026-04-24T22:52:07.036404+00:00
beluga,True,2026-03-11 00:00:00+00:00,218.0,2026-04-24T22:52:10.252576+00:00
synthiolabs,,,61.0,2026-04-24T22:52:02.611623+00:00
dolphin,,,60.0,2026-04-24T22:52:09.691406+00:00
galen-ai,,,61.0,2026-04-24T22:52:03.180398+00:00
kaelio,,,56.0,2026-04-24T22:52:10.223233+00:00
clarm,,,58.0,2026-04-24T22:52:11.007046+00:00
sim,,,51.0,2026-04-24T22:52:11.407567+00:00
chonkie,,,59.0,2026-04-24T22:52:07.019931+00:00
youlearn,True,2026-03-08 00:00:00+00:00,216.0,2026-04-24T22:52:15.616490+00:00
zeon-systems,,,64.0,2026-04-24T22:52:08.812124+00:00
stratify,,,64.0,2026-04-24T22:52:15.102045+00:00
typeos,,,55.0,2026-04-24T22:52:15.767180+00:00
percival,,,55.0,2026-04-24T22:52:15.776488+00:00
mbodi-ai,,,58.0,2026-04-24T22:52:16.000598+00:00
kirana-ai,,,62.0,2026-04-24T22:52:16.807176+00:00
the-llm-data-company,True,2026-04-19 00:00:00+00:00,216.0,2026-04-24T22:52:20.406794+00:00
caucus,,,63.0,2026-04-24T22:52:17.529969+00:00
pgdog,,,54.0,2026-04-24T22:52:17.839808+00:00
jeevy-fabrication,True,2026-03-11 00:00:00+00:00,230.0,2026-04-24T22:52:21.992218+00:00
attune,True,2026-03-09 00:00:00+00:00,213.0,2026-04-24T22:52:18.265500+00:00
kestral,,,57.0,2026-04-24T22:52:18.283695+00:00
bluejay,,,59.0,2026-04-24T22:52:18.760102+00:00
parsewise,,,57.0,2026-04-24T22:52:19.669072+00:00
tinfoil,,,55.0,2026-04-24T22:52:20.458104+00:00
refresh,,,60.0,2026-04-24T22:52:20.105785+00:00
chiron,,,62.0,2026-04-24T22:52:23.915179+00:00
voiceos,,,56.0,2026-04-24T22:52:25.187681+00:00
sixtyfour,,,62.0,2026-04-24T22:52:26.138954+00:00
better-auth,,,61.0,2026-04-24T22:52:19.293316+00:00
habit,True,2026-02-11 00:00:00+00:00,223.0,2026-04-24T22:52:28.331802+00:00
kaizen,True,2026-03-20 00:00:00+00:00,229.0,2026-04-24T22:52:28.495600+00:00
labric,,,54.0,2026-04-24T22:52:27.115125+00:00
clado,,,107.0,2026-04-24T22:52:25.961796+00:00
tegore,,,107.0,2026-04-24T22:52:26.079352+00:00
opusense-ai,,,62.0,2026-04-24T22:52:27.859547+00:00
trapeze,,,66.0,2026-04-24T22:52:21.410760+00:00
clidey,,,55.0,2026-04-24T22:52:28.033166+00:00
ticket-wallet,,,65.0,2026-04-24T22:52:28.574468+00:00
nomi,True,2026-03-11 00:00:00+00:00,203.0,2026-04-24T22:52:30.011173+00:00
runrl,,,54.0,2026-04-24T22:52:28.867807+00:00
casco,,,54.0,2026-04-24T22:52:30.872914+00:00
morphik,True,2026-04-04 00:00:00+00:00,209.0,2026-04-24T22:52:29.315688+00:00
crimson,,,56.0,2026-04-24T22:52:31.619142+00:00
cleon,True,2026-02-07 00:00:00+00:00,207.0,2026-04-24T22:52:36.568699+00:00
combinely,,,57.0,2026-04-24T22:52:25.947649+00:00
theta,True,2026-03-24 00:00:00+00:00,219.0,2026-04-24T22:52:37.127044+00:00
photonium,,,69.0,2026-04-24T22:52:26.447062+00:00
flott-hq,,,60.0,2026-04-24T22:52:34.486588+00:00
lucis,,,59.0,2026-04-24T22:52:35.738918+00:00
throxy,,,56.0,2026-04-24T22:52:36.462708+00:00
human-behavior,True,2026-03-09 00:00:00+00:00,226.0,2026-04-24T22:52:38.302353+00:00
lyrahq,,,53.0,2026-04-24T22:52:37.049742+00:00
prism,,,61.0,2026-04-24T22:52:37.887175+00:00
novoflow,,,61.0,2026-04-24T22:52:37.425449+00:00
qualgent,,,67.0,2026-04-24T22:52:37.998258+00:00
alkali,,,63.0,2026-04-24T22:52:38.402866+00:00
besimple-ai,,,56.0,2026-04-24T22:52:38.529838+00:00
jazzberry,,,57.0,2026-04-24T22:52:38.824499+00:00
powermatrix,,,58.0,2026-04-24T22:52:38.945972+00:00
third-chair,,,62.0,2026-04-24T22:52:41.291439+00:00
sygaldry-technologies,True,2026-04-21 00:00:00+00:00,213.0,2026-04-24T22:52:42.236815+00:00
paraquery,,,58.0,2026-04-24T22:52:42.034661+00:00
boost-robotics,True,2026-03-09 00:00:00+00:00,225.0,2026-04-24T22:52:43.138819+00:00
klavis-ai,,,59.0,2026-04-24T22:52:41.791325+00:00
vassar-robotics,True,2026-03-05 00:00:00+00:00,225.0,2026-04-24T22:52:43.310943+00:00
morphoai,,,55.0,2026-04-24T22:52:43.412910+00:00
hemut,True,2026-03-07 00:00:00+00:00,212.0,2026-04-24T22:52:48.203869+00:00
scalar-field,,,64.0,2026-04-24T22:52:45.871038+00:00
eloquent-ai,,,107.0,2026-04-24T22:52:45.100555+00:00
vesence,,,56.0,2026-04-24T22:52:39.202518+00:00
valuemate,True,2026-03-09 00:00:00+00:00,209.0,2026-04-24T22:52:47.321208+00:00
saffron-health,,,63.0,2026-04-24T22:52:46.811789+00:00
mindfort,True,2026-03-12 00:00:00+00:00,215.0,2026-04-24T22:52:51.742881+00:00
rimba,True,2026-03-07 00:00:00+00:00,205.0,2026-04-24T22:52:52.455579+00:00
moby-analytics,True,2026-03-07 00:00:00+00:00,228.0,2026-04-24T22:52:52.505282+00:00
adentris,True,2026-01-21 00:00:00+00:00,213.0,2026-04-24T22:52:52.419544+00:00
mesmer,,,54.0,2026-04-24T22:52:48.688226+00:00
relixir,,,55.0,2026-04-24T22:52:48.681725+00:00
chrt,,,53.0,2026-04-24T22:52:49.426018+00:00
janus,True,2026-03-14 00:00:00+00:00,220.0,2026-04-24T22:52:48.354576+00:00
nimbic-ai,True,2026-03-11 00:00:00+00:00,211.0,2026-04-24T22:52:52.646529+00:00
zero,True,2026-04-20 00:00:00+00:00,199.0,2026-04-24T22:52:48.139103+00:00
delty,,,53.0,2026-04-24T22:52:53.522092+00:00
bramante-biologics,,,64.0,2026-04-24T22:52:46.925142+00:00
cotool,,,54.0,2026-04-24T22:52:54.164021+00:00
lapel,,,55.0,2026-04-24T22:52:48.896163+00:00
probo,True,2026-03-05 00:00:00+00:00,218.0,2026-04-24T22:52:52.165384+00:00
theorem-2,True,2026-04-22 00:00:00+00:00,207.0,2026-04-24T22:52:59.232047+00:00
propolis,,,59.0,2026-04-24T22:52:56.215907+00:00
sieveai,True,2026-03-08 00:00:00+00:00,214.0,2026-04-24T22:53:01.125739+00:00
lumari,,,59.0,2026-04-24T22:52:57.264730+00:00
blueshoe,True,2026-01-12 00:00:00+00:00,213.0,2026-04-24T22:53:01.306504+00:00
code-four,,,57.0,2026-04-24T22:52:57.355632+00:00
starsling,True,2026-03-19 00:00:00+00:00,220.0,2026-04-24T22:52:58.659228+00:00
linewise,,,61.0,2026-04-24T22:52:57.877339+00:00
oncactus,,,57.0,2026-04-24T22:52:58.163803+00:00
cascade-space,True,2026-03-08 00:00:00+00:00,211.0,2026-04-24T22:53:03.400281+00:00
text-ai,,,57.0,2026-04-24T22:52:59.099782+00:00
den,True,2026-03-14 00:00:00+00:00,203.0,2026-04-24T22:52:56.957312+00:00
airweave,,,56.0,2026-04-24T22:52:59.664094+00:00
bond,True,2026-03-10 00:00:00+00:00,210.0,2026-04-24T22:53:02.797365+00:00
sureform,True,2026-03-08 00:00:00+00:00,222.0,2026-04-24T22:53:06.067170+00:00
aegis,,,60.0,2026-04-24T22:53:03.493545+00:00
mlop,,,52.0,2026-04-24T22:52:56.987263+00:00
overeasy,True,2026-01-24 00:00:00+00:00,208.0,2026-04-24T22:53:08.243187+00:00
bitpatrol,,,62.0,2026-04-24T22:53:04.364668+00:00
poka-labs,True,2026-03-13 00:00:00+00:00,218.0,2026-04-24T22:53:07.648950+00:00
wavedash,,,57.0,2026-04-24T22:52:58.596121+00:00
foundation-industries,,,75.0,2026-04-24T22:53:05.591221+00:00
godela,,,53.0,2026-04-24T22:53:05.576085+00:00
acx,True,2026-03-07 00:00:00+00:00,232.0,2026-04-24T22:53:08.557458+00:00
docket,,,57.0,2026-04-24T22:53:06.408559+00:00
simplex,True,2026-03-11 00:00:00+00:00,209.0,2026-04-24T22:53:07.684205+00:00
central,,,58.0,2026-04-24T22:53:07.859354+00:00
fuse-2,,,63.0,2026-04-24T22:53:07.865198+00:00
ultra,True,2026-04-10 00:00:00+00:00,209.0,2026-04-24T22:53:13.220213+00:00
ligo-biosciences,,,57.0,2026-04-24T22:53:09.088849+00:00
spur,,,62.0,2026-04-24T22:53:09.542762+00:00
coval,,,54.0,2026-04-24T22:53:10.020109+00:00
evolvere-biosciences,,,73.0,2026-04-24T22:53:09.910198+00:00
angstrom-ai,,,64.0,2026-04-24T22:53:10.130728+00:00
roger-2,True,2026-04-14 00:00:00+00:00,215.0,2026-04-24T22:53:13.568557+00:00
abel-police,True,2026-01-13 00:00:00+00:00,212.0,2026-04-24T22:53:13.422352+00:00
apten,True,2026-03-08 00:00:00+00:00,210.0,2026-04-24T22:53:14.913260+00:00
glasskube,True,2026-03-30 00:00:00+00:00,202.0,2026-04-24T22:53:18.258347+00:00
cohesive,,,62.0,2026-04-24T22:53:07.126435+00:00
miru-ml,,,59.0,2026-04-24T22:53:14.280250+00:00
spherecast,,,63.0,2026-04-24T22:53:14.368861+00:00
domu-technology-inc,True,2026-03-23 00:00:00+00:00,204.0,2026-04-24T22:53:15.218733+00:00
undermind,,,61.0,2026-04-24T22:53:15.393983+00:00
superunit,,,107.0,2026-04-24T22:53:15.604755+00:00
doublezero,,,60.0,2026-04-24T22:53:16.381468+00:00
pre,True,2026-03-08 00:00:00+00:00,221.0,2026-04-24T22:53:21.810596+00:00
cheers,,,60.0,2026-04-24T22:53:17.929986+00:00
theseus,,,55.0,2026-04-24T22:53:19.322319+00:00
synnax,,,64.0,2026-04-24T22:53:19.586077+00:00
comfy-deploy,,,60.0,2026-04-24T22:53:20.081677+00:00
educato,,,61.0,2026-04-24T22:53:20.132817+00:00
spaceium-inc,,,57.0,2026-04-24T22:53:20.083391+00:00
saphira-ai,,,55.0,2026-04-24T22:53:19.131328+00:00
prohostai,True,2026-02-15 00:00:00+00:00,210.0,2026-04-24T22:53:20.241980+00:00
entangl,True,2026-03-10 00:00:00+00:00,212.0,2026-04-24T22:53:24.659846+00:00
hamming-ai,,,56.0,2026-04-24T22:53:24.078449+00:00
understood-care,,,63.0,2026-04-24T22:53:16.983071+00:00
claimsorted,,,60.0,2026-04-24T22:53:24.644492+00:00
mem0,,,52.0,2026-04-24T22:53:18.257407+00:00
random-labs,,,58.0,2026-04-24T22:53:26.052825+00:00
sagecare,True,2026-03-13 00:00:00+00:00,211.0,2026-04-24T22:53:30.430754+00:00
videogen,True,2026-02-27 00:00:00+00:00,207.0,2026-04-24T22:53:31.381772+00:00
codes-health,True,2026-01-19 00:00:00+00:00,230.0,2026-04-24T22:53:24.760935+00:00
stack-auth,True,2026-03-19 00:00:00+00:00,213.0,2026-04-24T22:53:30.430791+00:00
digitalcarbon,,,65.0,2026-04-24T22:53:27.581239+00:00
flyflow,,,55.0,2026-04-24T22:53:27.920126+00:00
bayesline,,,58.0,2026-04-24T22:53:27.771995+00:00
mdhub,True,2026-03-07 00:00:00+00:00,210.0,2026-04-24T22:53:24.602688+00:00
unsloth-ai,True,2026-04-20 00:00:00+00:00,206.0,2026-04-24T22:53:25.054577+00:00
invaria,,,56.0,2026-04-24T22:53:29.738114+00:00
phonely,True,2026-03-14 00:00:00+00:00,209.0,2026-04-24T22:53:32.467487+00:00
maitai,True,2026-02-10 00:00:00+00:00,211.0,2026-04-24T22:53:34.164000+00:00
tabula,True,2026-04-01 00:00:00+00:00,207.0,2026-04-24T22:53:29.635284+00:00
ideate-xyz,True,2025-11-30 00:00:00+00:00,205.0,2026-04-24T22:53:35.712856+00:00
decisional-ai,True,2026-03-31 00:00:00+00:00,218.0,2026-04-24T22:53:36.571508+00:00
stardrift,True,2026-04-18 00:00:00+00:00,209.0,2026-04-24T22:53:36.547290+00:00
azalea-robotics-corporation,True,2026-03-13 00:00:00+00:00,226.0,2026-04-24T22:53:37.211018+00:00
corgi-insurance,,,57.0,2026-04-24T22:53:33.747924+00:00
sorcerer,,,59.0,2026-04-24T22:53:34.439663+00:00
wordware,,,57.0,2026-04-24T22:53:34.431345+00:00
callback,,,59.0,2026-04-24T22:53:28.387661+00:00
firstwork,,,58.0,2026-04-24T22:53:35.490920+00:00
cloudglue,True,2025-11-25 00:00:00+00:00,211.0,2026-04-24T22:53:39.641791+00:00
retrofix,,,61.0,2026-04-24T22:53:37.438698+00:00
unbound,,,59.0,2026-04-24T22:53:37.901075+00:00
hyrex,,,57.0,2026-04-24T22:53:37.984181+00:00
networkocean,,,61.0,2026-04-24T22:53:38.430256+00:00
rewbi,,,59.0,2026-04-24T22:53:39.882428+00:00
proxis,,,59.0,2026-04-24T22:53:40.455781+00:00
zuni,,,53.0,2026-04-24T22:53:40.606066+00:00
deepsim-inc,,,59.0,2026-04-24T22:53:42.516084+00:00
joinlore,,,58.0,2026-04-24T22:53:47.459193+00:00
storia-ai,,,54.0,2026-04-24T22:53:42.705437+00:00
offstream,,,66.0,2026-04-24T22:53:42.854304+00:00
snowpilot,True,2025-11-11 00:00:00+00:00,219.0,2026-04-24T22:53:47.842399+00:00
dodo,,,61.0,2026-04-24T22:53:43.766759+00:00
silurian,,,57.0,2026-04-24T22:53:38.428028+00:00
ares-industries,,,63.0,2026-04-24T22:53:44.569579+00:00
runlocal-ai,,,56.0,2026-04-24T22:53:45.094546+00:00
codeviz,,,60.0,2026-04-24T22:53:45.397314+00:00
parahelp,,,58.0,2026-04-24T22:53:45.460444+00:00
elevate-2,True,2026-03-13 00:00:00+00:00,218.0,2026-04-24T22:53:43.495947+00:00
lucible,True,2026-03-06 00:00:00+00:00,215.0,2026-04-24T22:53:43.677703+00:00
minusx,,,54.0,2026-04-24T22:53:48.602872+00:00
scape,,,54.0,2026-04-24T22:53:41.826055+00:00
camfer,,,60.0,2026-04-24T22:53:48.628540+00:00
tivara,,,55.0,2026-04-24T22:53:48.742356+00:00
dench-com,True,2026-03-08 00:00:00+00:00,207.0,2026-04-24T22:53:53.097892+00:00
pulse-3,True,2026-03-04 00:00:00+00:00,218.0,2026-04-24T22:53:54.078594+00:00
tandem-2,True,2026-03-12 00:00:00+00:00,210.0,2026-04-24T22:53:50.522130+00:00
ledgerup,True,2026-02-12 00:00:00+00:00,212.0,2026-04-24T22:53:55.009100+00:00
kenley,,,55.0,2026-04-24T22:53:50.073205+00:00
weave-robotics,,,64.0,2026-04-24T22:53:50.884603+00:00
lighthouz-ai,True,2026-03-11 00:00:00+00:00,210.0,2026-04-24T22:53:55.346843+00:00
autopallet-robotics,True,2026-03-11 00:00:00+00:00,213.0,2026-04-24T22:53:53.234396+00:00
mito-health,True,2026-04-20 00:00:00+00:00,214.0,2026-04-24T22:53:55.350699+00:00
fazeshift,True,2026-04-02 00:00:00+00:00,220.0,2026-04-24T22:53:58.738238+00:00
gauge,,,58.0,2026-04-24T22:53:52.856001+00:00
aminoanalytica,,,67.0,2026-04-24T22:53:53.054336+00:00
kastle,True,2026-03-13 00:00:00+00:00,208.0,2026-04-24T22:54:00.014122+00:00
plume,,,63.0,2026-04-24T22:53:54.208855+00:00
panora,True,2026-04-20 00:00:00+00:00,211.0,2026-04-24T22:54:00.980318+00:00
dmodel,,,58.0,2026-04-24T22:53:55.022440+00:00
modus,,,56.0,2026-04-24T22:53:55.151305+00:00
aluna,True,2026-03-13 00:00:00+00:00,215.0,2026-04-24T22:54:01.079388+00:00
the-synthesis-company,,,65.0,2026-04-24T22:53:57.192106+00:00
substrate,,,62.0,2026-04-24T22:53:57.335704+00:00
benchify,,,61.0,2026-04-24T22:53:58.835712+00:00
taxgpt,,,59.0,2026-04-24T22:53:58.693579+00:00
anthrogen,,,58.0,2026-04-24T22:53:59.031598+00:00
kopra-bio,,,54.0,2026-04-24T22:53:59.314635+00:00
creativemode,,,61.0,2026-04-24T22:54:00.033200+00:00
conveo,,,55.0,2026-04-24T22:54:00.282101+00:00
manaflow,,,61.0,2026-04-24T22:54:00.285438+00:00
saturn,True,2026-02-27 00:00:00+00:00,217.0,2026-04-24T22:54:03.343054+00:00
ontra-mobility,,,66.0,2026-04-24T22:54:01.757277+00:00
expand-ai,,,55.0,2026-04-24T22:54:02.597058+00:00
promi,,,62.0,2026-04-24T22:54:02.256352+00:00
clearly-ai,,,59.0,2026-04-24T22:54:03.335628+00:00
deepsilicon,,,65.0,2026-04-24T22:54:08.282708+00:00
reactwise,,,63.0,2026-04-24T22:54:03.913927+00:00
1849-bio,,,57.0,2026-04-24T22:54:04.719116+00:00
lumenary,False,2025-07-16 00:00:00+00:00,203.0,2026-04-24T22:54:07.176837+00:00
vibe,,,55.0,2026-04-24T22:54:04.825229+00:00
magicode,,,61.0,2026-04-24T22:54:05.102201+00:00
finny-ai,,,61.0,2026-04-24T22:54:04.988657+00:00
hestus-inc,,,58.0,2026-04-24T22:54:06.027191+00:00
planbase,,,66.0,2026-04-24T22:54:06.896724+00:00
seals-ai,,,62.0,2026-04-24T22:54:08.411270+00:00
drillbit,,,107.0,2026-04-24T22:54:07.631185+00:00
pax,True,2026-04-09 00:00:00+00:00,208.0,2026-04-24T22:54:13.770207+00:00
zoa-research,,,60.0,2026-04-24T22:54:03.474192+00:00
autumn-labs,,,63.0,2026-04-24T22:54:11.080338+00:00
anara,,,54.0,2026-04-24T22:54:06.116437+00:00
dimely,True,2026-02-08 00:00:00+00:00,210.0,2026-04-24T22:54:07.003064+00:00
redouble-ai,,,57.0,2026-04-24T22:54:06.906936+00:00
conductor-quantum,,,69.0,2026-04-24T22:54:13.764297+00:00
david-ai,True,2026-03-19 00:00:00+00:00,218.0,2026-04-24T22:54:14.929412+00:00
beebettor,,,58.0,2026-04-24T22:54:14.800135+00:00
mage-legal,,,58.0,2026-04-24T22:54:14.957230+00:00
distro,,,55.0,2026-04-24T22:54:15.216845+00:00
remade,,,134.0,2026-04-24T22:54:15.247338+00:00
winfunc,,,56.0,2026-04-24T22:54:09.938270+00:00
biocartesian,,,65.0,2026-04-24T22:54:09.683525+00:00
zeit-ai,,,57.0,2026-04-24T22:54:16.584065+00:00
opslane,,,56.0,2026-04-24T22:54:11.080267+00:00
emergent,,,56.0,2026-04-24T22:54:17.426165+00:00
kura-ai,,,56.0,2026-04-24T22:54:18.685014+00:00
thunder-compute,,,67.0,2026-04-24T22:54:19.690939+00:00
ember-robotics,,,66.0,2026-04-24T22:54:20.232624+00:00
pinnacle,,,57.0,2026-04-24T22:54:20.587947+00:00
stempad,,,60.0,2026-04-24T22:54:14.213224+00:00
intryc,,,55.0,2026-04-24T22:54:21.722297+00:00
parley,,,54.0,2026-04-24T22:54:23.213614+00:00
mineflow,,,56.0,2026-04-24T22:54:23.858006+00:00
soff,,,52.0,2026-04-24T22:54:23.851040+00:00
schemeflow,,,63.0,2026-04-24T22:54:24.783160+00:00
zettascale,,,52.0,2026-04-24T22:54:25.142964+00:00
praxos,,,57.0,2026-04-24T22:54:25.421387+00:00
presti-ai,,,59.0,2026-04-24T22:54:25.687385+00:00
the-forecasting-company,,,74.0,2026-04-24T22:54:25.686056+00:00
cerulion,,,61.0,2026-04-24T22:54:26.696067+00:00
laminar,,,55.0,2026-04-24T22:54:26.758230+00:00
guardian-rf,,,60.0,2026-04-24T22:54:26.875911+00:00
sensei,True,2026-01-23 00:00:00+00:00,221.0,2026-04-24T22:54:28.017465+00:00
simple-ai,,,61.0,2026-04-24T22:54:28.042392+00:00
refactor,True,2025-12-17 00:00:00+00:00,207.0,2026-04-24T22:54:30.634502+00:00
brighterway,True,2026-02-10 00:00:00+00:00,222.0,2026-04-24T22:54:24.219118+00:00
lilac-labs,False,2025-06-22 00:00:00+00:00,216.0,2026-04-24T22:54:29.846784+00:00
finosu,True,2026-03-11 00:00:00+00:00,213.0,2026-04-24T22:54:34.977247+00:00
baseline-ai,True,2026-02-12 00:00:00+00:00,230.0,2026-04-24T22:54:34.276975+00:00
sonatoria,True,2026-01-23 00:00:00+00:00,211.0,2026-04-24T22:54:31.596970+00:00
heroui,True,2026-04-16 00:00:00+00:00,205.0,2026-04-24T22:54:35.872120+00:00
