slug,source_C_live,source_C_last_snapshot_date,source_C_snapshot_body_len,source_C_timestamp
verbiflow,,,58.0,2026-04-24T22:59:03.747671+00:00
a1base,,,60.0,2026-04-24T22:59:04.085036+00:00
subtrace,,,57.0,2026-04-24T22:58:58.309589+00:00
altrina,,,56.0,2026-04-24T22:59:04.804521+00:00
a0-dev,True,2026-03-11 00:00:00+00:00,197.0,2026-04-24T22:59:05.375921+00:00
maritime-fusion,,,63.0,2026-04-24T22:59:05.780029+00:00
trava,,,62.0,2026-04-24T22:59:07.300362+00:00
tejas-ai,,,61.0,2026-04-24T22:59:07.338549+00:00
tergle,True,2026-02-17 00:00:00+00:00,205.0,2026-04-24T22:59:11.983300+00:00
adam,True,2026-04-17 00:00:00+00:00,202.0,2026-04-24T22:59:09.454536+00:00
deployparagon,,,63.0,2026-04-24T22:59:09.208947+00:00
carecycle,,,61.0,2026-04-24T22:59:09.357975+00:00
rally-3,,,62.0,2026-04-24T22:59:09.477900+00:00
inversion-semiconductor,,,66.0,2026-04-24T22:59:09.421242+00:00
trim,True,2025-11-28 00:00:00+00:00,217.0,2026-04-24T22:59:12.071099+00:00
cardamon,True,2026-03-14 00:00:00+00:00,208.0,2026-04-24T22:59:13.305228+00:00
cifrato,True,2026-03-06 00:00:00+00:00,205.0,2026-04-24T22:59:15.178787+00:00
bezel,,,62.0,2026-04-24T22:59:13.426156+00:00
weave-3,,,58.0,2026-04-24T22:59:07.713124+00:00
maive,,,53.0,2026-04-24T22:59:07.724006+00:00
zeroentropy,,,64.0,2026-04-24T22:59:14.470792+00:00
salespatriot,,,66.0,2026-04-24T22:59:07.793887+00:00
caseflood-ai,,,57.0,2026-04-24T22:59:07.696415+00:00
oki,,,69.0,2026-04-24T22:59:14.529204+00:00
healthkey,True,2025-12-05 00:00:00+00:00,218.0,2026-04-24T22:59:18.717871+00:00
gradewiz,True,2026-03-10 00:00:00+00:00,216.0,2026-04-24T22:59:19.519910+00:00
cuckoo-labs,True,2026-03-23 00:00:00+00:00,212.0,2026-04-24T22:59:19.694659+00:00
mosaic-2,,,54.0,2026-04-24T22:59:16.036100+00:00
pax-markets,True,2026-02-12 00:00:00+00:00,208.0,2026-04-24T22:59:21.628788+00:00
osmosis,,,56.0,2026-04-24T22:59:17.843228+00:00
olive,True,2026-01-16 00:00:00+00:00,211.0,2026-04-24T22:59:20.353561+00:00
operand,,,61.0,2026-04-24T22:59:17.901767+00:00
finbar,True,2025-11-28 00:00:00+00:00,205.0,2026-04-24T22:59:19.776455+00:00
amby-health,,,56.0,2026-04-24T22:59:12.097500+00:00
pave-robotics,True,2026-03-09 00:00:00+00:00,219.0,2026-04-24T22:59:23.641764+00:00
gale,True,2026-02-14 00:00:00+00:00,209.0,2026-04-24T22:59:24.379230+00:00
mecha-health,,,65.0,2026-04-24T22:59:19.667734+00:00
harbera,True,2026-01-18 00:00:00+00:00,212.0,2026-04-24T22:59:25.229649+00:00
hud,,,55.0,2026-04-24T22:59:20.260200+00:00
lopus-ai,True,2026-02-13 00:00:00+00:00,201.0,2026-04-24T22:59:26.582624+00:00
cenote,True,2026-04-14 00:00:00+00:00,222.0,2026-04-24T22:59:25.408305+00:00
strike,False,2025-07-10 00:00:00+00:00,218.0,2026-04-24T22:59:28.141598+00:00
swerve,,,63.0,2026-04-24T22:59:17.647599+00:00
asteroid,,,56.0,2026-04-24T22:59:24.688882+00:00
lucid,,,53.0,2026-04-24T22:59:24.811700+00:00
bindwell,,,61.0,2026-04-24T22:59:24.923611+00:00
macadamia,,,62.0,2026-04-24T22:59:24.700648+00:00
pickle-2,,,59.0,2026-04-24T22:59:24.822544+00:00
stillwind,,,57.0,2026-04-24T22:59:24.924413+00:00
solidroad,True,2026-03-08 00:00:00+00:00,215.0,2026-04-24T22:59:29.748644+00:00
athenahq,,,60.0,2026-04-24T22:59:28.006493+00:00
mundo-ai,,,58.0,2026-04-24T22:59:28.239853+00:00
g-lnk,,,56.0,2026-04-24T22:59:28.237476+00:00
lucidic-ai,,,55.0,2026-04-24T22:59:28.738434+00:00
trata,,,62.0,2026-04-24T22:59:29.222997+00:00
haleum,,,55.0,2026-04-24T22:59:29.181255+00:00
general-trajectory,,,71.0,2026-04-24T22:59:29.993001+00:00
rejot,,,54.0,2026-04-24T22:59:30.241300+00:00
agentin-ai,,,59.0,2026-04-24T22:59:30.788890+00:00
bystreet,,,60.0,2026-04-24T22:59:31.417094+00:00
waypoint-transit,,,64.0,2026-04-24T22:59:32.251876+00:00
riviera,,,64.0,2026-04-24T22:59:32.682913+00:00
confident-ai,,,61.0,2026-04-24T22:59:34.157812+00:00
karsa,,,57.0,2026-04-24T22:59:34.557767+00:00
exla,,,53.0,2026-04-24T22:59:34.537761+00:00
harper,,,66.0,2026-04-24T22:59:34.796462+00:00
nitrode,,,60.0,2026-04-24T22:59:34.713198+00:00
calltree,,,56.0,2026-04-24T22:59:34.715981+00:00
tire-swing,,,61.0,2026-04-24T22:59:35.125629+00:00
outlit,,,55.0,2026-04-24T22:59:35.299069+00:00
peppr-ai,True,2026-02-12 00:00:00+00:00,216.0,2026-04-24T22:59:39.134357+00:00
openintake,True,2026-03-14 00:00:00+00:00,220.0,2026-04-24T22:59:39.165868+00:00
sennu-ai,True,2026-03-14 00:00:00+00:00,205.0,2026-04-24T22:59:37.738280+00:00
infinite,True,2026-04-22 00:00:00+00:00,209.0,2026-04-24T22:59:39.102031+00:00
orbital-operations,,,65.0,2026-04-24T22:59:37.357113+00:00
artificial-societies,,,57.0,2026-04-24T22:59:39.753749+00:00
miyagi-labs,,,58.0,2026-04-24T22:59:39.934142+00:00
fuseai,,,56.0,2026-04-24T22:59:40.385919+00:00
misprint,,,61.0,2026-04-24T22:59:41.734115+00:00
mesh-2,,,59.0,2026-04-24T22:59:37.253243+00:00
archon,,,55.0,2026-04-24T22:59:44.618805+00:00
retrofit,,,63.0,2026-04-24T22:59:44.619937+00:00
optifye-ai,,,59.0,2026-04-24T22:59:44.653466+00:00
permitify,,,58.0,2026-04-24T22:59:44.852220+00:00
forge-automation,,,67.0,2026-04-24T22:59:44.607812+00:00
reditus-space,,,63.0,2026-04-24T22:59:44.795414+00:00
wildcard,,,57.0,2026-04-24T22:59:44.853416+00:00
