slug,source_A_live,source_B_live,source_C_live,shuttered_v2,shuttered_v2_confidence,sources_n_live,sources_n_dead,sources_n_null
agenthub-2,False,True,,ambiguous,none,1,1,1
nexa-labs,True,True,True,live,high,3,0,0
bootloop,True,True,,live,low,2,0,1
stellon-labs,False,True,True,live,low,2,1,0
kalinda,True,True,,live,low,2,0,1
parachute,True,True,True,live,high,3,0,0
louiza-labs,True,True,,live,low,2,0,1
doe,True,True,,live,low,2,0,1
ironledger-ai,True,True,,live,low,2,0,1
theinterface,True,True,True,live,high,3,0,0
trace-so,True,True,True,live,high,3,0,0
fulcrum,False,True,True,live,low,2,1,0
b12-labs,True,True,,live,low,2,0,1
flai,True,True,True,live,high,3,0,0
embedder,True,True,,live,low,2,0,1
candytrail,True,True,,live,low,2,0,1
epicenter,False,True,,ambiguous,none,1,1,1
channel3,True,True,,live,low,2,0,1
ghosteye,True,True,,live,low,2,0,1
normal,True,True,,live,low,2,0,1
comena,True,True,,live,low,2,0,1
vibeflow,True,True,,live,low,2,0,1
nozomio,False,True,,ambiguous,none,1,1,1
mimos,True,True,True,live,high,3,0,0
goriff,False,True,,ambiguous,none,1,1,1
albacore-inc,True,True,True,live,high,3,0,0
solva,True,True,True,live,high,3,0,0
phases,True,True,,live,low,2,0,1
perseus-defense,True,True,,live,low,2,0,1
novaflow,True,True,True,live,high,3,0,0
manufact,True,True,True,live,high,3,0,0
hyprnote,True,True,,live,low,2,0,1
relling,False,True,,ambiguous,none,1,1,1
motives,True,True,True,live,high,3,0,0
finto-de,True,True,,live,low,2,0,1
iron-grid,True,True,,live,low,2,0,1
april,True,True,True,live,high,3,0,0
autosana,False,True,,ambiguous,none,1,1,1
knowlify,True,True,False,live,low,2,1,0
omnara,False,True,True,live,low,2,1,0
risely-ai,True,True,,live,low,2,0,1
minimal-ai,True,True,True,live,high,3,0,0
socratix-ai,True,True,,live,low,2,0,1
alara,True,True,,live,low,2,0,1
floot,True,True,,live,low,2,0,1
idler,False,True,,ambiguous,none,1,1,1
palace,True,True,,live,low,2,0,1
humoniq,True,True,,live,low,2,0,1
nautilus,True,True,True,live,high,3,0,0
avelis-health,True,True,,live,low,2,0,1
pares-ai,True,True,True,live,high,3,0,0
altur,True,True,False,live,low,2,1,0
tryeden,True,True,,live,low,2,0,1
metis,True,True,True,live,high,3,0,0
f4,True,True,,live,low,2,0,1
sira,False,True,True,live,low,2,1,0
opennote,True,True,,live,low,2,0,1
sigmanticai,True,True,,live,low,2,0,1
convexia,True,True,,live,low,2,0,1
pleom,False,True,True,live,low,2,1,0
locata,True,True,,live,low,2,0,1
pally,True,True,True,live,high,3,0,0
notte,True,True,True,live,high,3,0,0
hera-video,True,True,,live,low,2,0,1
certus-ai,True,True,,live,low,2,0,1
reacher,True,True,,live,low,2,0,1
kernel,False,True,,ambiguous,none,1,1,1
dscribe-ai,True,True,,live,low,2,0,1
okibi,False,True,True,live,low,2,1,0
juxta,True,True,,live,low,2,0,1
flywheel-ai,True,True,,live,low,2,0,1
stagewise,True,True,,live,low,2,0,1
clodo,True,True,,live,low,2,0,1
fleetline,False,True,,ambiguous,none,1,1,1
magnetic,True,True,,live,low,2,0,1
modelence,True,True,,live,low,2,0,1
perspectives-health,True,True,,live,low,2,0,1
duranium,True,True,,live,low,2,0,1
tectoai,True,True,,live,low,2,0,1
rowflow,True,True,,live,low,2,0,1
munify,True,True,,live,low,2,0,1
interfere,True,True,,live,low,2,0,1
spotlight-realty,True,True,,live,low,2,0,1
geo-ai,True,True,,live,low,2,0,1
vulcan-technologies,True,True,,live,low,2,0,1
noso-labs,False,True,True,live,low,2,1,0
outrove,True,True,True,live,high,3,0,0
veritus,True,True,,live,low,2,0,1
ruvo,True,True,True,live,high,3,0,0
avent,True,True,,live,low,2,0,1
burnt,True,True,,live,low,2,0,1
freya,True,True,,live,low,2,0,1
luminal,True,True,,live,low,2,0,1
realroots,True,True,,live,low,2,0,1
uplift-ai,True,True,,live,low,2,0,1
paloma,False,True,,ambiguous,none,1,1,1
blue,True,True,,live,low,2,0,1
nox-metals,True,True,,live,low,2,0,1
f2,True,True,,live,low,2,0,1
governgpt,True,True,,live,low,2,0,1
yenmo,True,True,,live,low,2,0,1
jo,True,True,,live,low,2,0,1
onyx,True,True,True,live,high,3,0,0
lantern-2,True,False,,ambiguous,none,1,1,1
driver,True,True,True,live,high,3,0,0
gumloop,False,True,,ambiguous,none,1,1,1
event-horizon-labs,True,True,True,live,high,3,0,0
upsolve-ai,True,True,,live,low,2,0,1
navier-ai,False,True,True,live,low,2,1,0
drymerge,True,True,True,live,high,3,0,0
relari,True,True,,live,low,2,0,1
tesseral,True,True,,live,low,2,0,1
radmate-ai,,False,,no_label,none,0,1,2
scritch,True,True,True,live,high,3,0,0
legora,True,True,,live,low,2,0,1
ego,True,True,,live,low,2,0,1
stitch-technologies,,False,,no_label,none,0,1,2
purplepages,False,True,,ambiguous,none,1,1,1
greptile,True,True,,live,low,2,0,1
ubicloud,True,True,,live,low,2,0,1
happenstance,True,True,,live,low,2,0,1
duckie,True,True,True,live,high,3,0,0
ion-design,True,True,,live,low,2,0,1
maihem,True,True,,live,low,2,0,1
sonia,False,True,True,live,low,2,1,0
kabilah,True,True,,live,low,2,0,1
tracecat,True,True,,live,low,2,0,1
precip,True,True,True,live,high,3,0,0
nuanced,True,True,True,live,high,3,0,0
maia,True,True,,live,low,2,0,1
andon-labs,True,True,,live,low,2,0,1
reducto,True,True,,live,low,2,0,1
momentic,True,True,,live,low,2,0,1
tuesday-lab,True,True,,live,low,2,0,1
tile,,True,,no_label,none,1,0,2
newton,True,True,True,live,high,3,0,0
quary,,False,False,shuttered,low,0,2,1
malibou,True,True,False,live,low,2,1,0
alex-com,True,True,True,live,high,3,0,0
lumen-payments,True,True,,live,low,2,0,1
ncompass-technologies,False,True,,ambiguous,none,1,1,1
argon-ai-inc,True,True,,live,low,2,0,1
mango-health,,False,False,shuttered,low,0,2,1
garage-2,True,True,,live,low,2,0,1
buster,False,True,,ambiguous,none,1,1,1
dgi-apparel,False,False,,shuttered,low,0,2,1
aidy,True,True,,live,low,2,0,1
pivot-robotics,True,True,True,live,high,3,0,0
fractal-labs,False,True,,ambiguous,none,1,1,1
agentic-labs-2,True,True,,live,low,2,0,1
carousel-technologies,False,True,,ambiguous,none,1,1,1
basalt,True,True,,live,low,2,0,1
leaping,False,True,,ambiguous,none,1,1,1
mathdash,False,True,,ambiguous,none,1,1,1
assembly-2,True,True,,live,low,2,0,1
avery,True,True,,live,low,2,0,1
patchwork,,False,,no_label,none,0,1,2
pointone,True,True,,live,low,2,0,1
paradigm,False,True,,ambiguous,none,1,1,1
arini,True,True,,live,low,2,0,1
furtherai,True,True,,live,low,2,0,1
roe,True,True,,live,low,2,0,1
suretynow,True,True,,live,low,2,0,1
octolane-ai,True,True,,live,low,2,0,1
artisan,True,True,,live,low,2,0,1
eggnog,False,True,,ambiguous,none,1,1,1
greenboard,True,True,,live,low,2,0,1
ecliptor,False,True,True,live,low,2,1,0
trellis-ai,True,True,True,live,high,3,0,0
topo,True,True,,live,low,2,0,1
verse-therapy,False,True,True,live,low,2,1,0
tokenowl,True,True,True,live,high,3,0,0
yoneda-labs,True,True,,live,low,2,0,1
synsorybio,False,True,,ambiguous,none,1,1,1
copper-health,True,True,,live,low,2,0,1
blume-benefits,True,False,,ambiguous,none,1,1,1
atopile,True,True,,live,low,2,0,1
partnerhq,,True,,no_label,none,1,0,2
tusk,True,True,,live,low,2,0,1
engines,False,False,,shuttered,low,0,2,1
onegrep,,True,,no_label,none,1,0,2
selera-medical,False,False,,shuttered,low,0,2,1
lucite,False,True,,ambiguous,none,1,1,1
attunement,True,True,True,live,high,3,0,0
cloudcruise,True,True,,live,low,2,0,1
starjar,,True,False,ambiguous,none,1,1,1
meticulate,True,True,,live,low,2,0,1
celest,False,False,True,shuttered,low,1,2,0
glimmer,False,True,,ambiguous,none,1,1,1
zaymo,True,True,,live,low,2,0,1
promptarmor,True,True,,live,low,2,0,1
keywords-ai,True,True,,live,low,2,0,1
omniai,True,True,,live,low,2,0,1
guide-labs,True,True,,live,low,2,0,1
speck,True,True,,live,low,2,0,1
trypillar,True,True,,live,low,2,0,1
lemonslice,False,True,,ambiguous,none,1,1,1
decipher-ai,True,True,,live,low,2,0,1
toolify,False,False,,shuttered,low,0,2,1
cpgscout,True,True,True,live,high,3,0,0
consul,True,True,,live,low,2,0,1
clarion,True,True,True,live,high,3,0,0
tamarind-bio,True,True,,live,low,2,0,1
14-ai,False,True,,ambiguous,none,1,1,1
inquery-2,True,True,,live,low,2,0,1
infinity,True,True,,live,low,2,0,1
pandasai,False,True,,ambiguous,none,1,1,1
sync-2,True,True,,live,low,2,0,1
vibrant-labs,True,True,,live,low,2,0,1
parallel,True,True,,live,low,2,0,1
aether,True,True,,live,low,2,0,1
firebender,False,True,,ambiguous,none,1,1,1
resonance,True,True,True,live,high,3,0,0
crmcopilot,False,False,,shuttered,low,0,2,1
phospho,True,True,True,live,high,3,0,0
centralize,True,True,,live,low,2,0,1
salvy,True,True,,live,low,2,0,1
aedilic,,True,,no_label,none,1,0,2
open,True,True,True,live,high,3,0,0
wuri,,False,,no_label,none,0,1,2
pythagora,True,True,,live,low,2,0,1
solari-ai,False,True,,ambiguous,none,1,1,1
dime-2,True,True,,live,low,2,0,1
