slug,source_A_live,source_B_live,source_C_live,shuttered_v2,shuttered_v2_confidence,sources_n_live,sources_n_dead,sources_n_null
openintake,False,True,True,live,low,2,1,0
artificial-societies,False,True,,ambiguous,none,1,1,1
miyagi-labs,True,True,,live,low,2,0,1
fuseai,True,True,,live,low,2,0,1
misprint,True,True,,live,low,2,0,1
afterquery,True,True,True,live,high,3,0,0
mastra,True,True,True,live,high,3,0,0
forge-automation,False,True,,ambiguous,none,1,1,1
archon,False,True,,ambiguous,none,1,1,1
retrofit,False,True,,ambiguous,none,1,1,1
pinch,True,True,,live,low,2,0,1
optifye-ai,True,True,,live,low,2,0,1
reditus-space,True,True,,live,low,2,0,1
permitify,True,True,,live,low,2,0,1
wildcard,True,True,,live,low,2,0,1
corsair,True,True,,live,low,2,0,1
proception-inc,True,True,,live,low,2,0,1
woz,True,True,,live,low,2,0,1
spott,True,True,,live,low,2,0,1
rebolt,False,True,True,live,low,2,1,0
roark,True,True,True,live,high,3,0,0
dalus,False,True,True,live,low,2,1,0
tensorpool,False,True,True,live,low,2,1,0
bluebook,True,True,,live,low,2,0,1
butter,False,True,,ambiguous,none,1,1,1
paratus-health,True,True,,live,low,2,0,1
copycat,False,True,,ambiguous,none,1,1,1
ergo,True,True,True,live,high,3,0,0
tamlabs,False,True,True,live,low,2,1,0
browser-use,True,True,True,live,high,3,0,0
cedar,,True,,no_label,none,1,0,2
lightbox,False,True,True,live,low,2,1,0
mercura,True,True,True,live,high,3,0,0
instinct,True,True,,live,low,2,0,1
sammy-labs,False,True,True,live,low,2,1,0
trycandid,False,True,True,live,low,2,1,0
trainloop,True,True,,live,low,2,0,1
thirdlayer,True,True,,live,low,2,0,1
axal,True,True,,live,low,2,0,1
artifact-2,True,True,,live,low,2,0,1
assistant-ui,True,True,,live,low,2,0,1
fira,True,True,True,live,high,3,0,0
vantel,True,True,,live,low,2,0,1
blindpay,True,True,,live,low,2,0,1
mentra,True,True,,live,low,2,0,1
red-barn-robotics,True,True,,live,low,2,0,1
